resolucion,identificador,resumen,Estado,
Resolución 95 de 2016 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza a las empresas pesqueras industriales de Santa Cruz del Sur (EPISUR); de las Tunas (PESCATUN); de Holguín (PESCAHOL) y de Guantánamo (PESCAGUAN) a calar tranques destinados a la captura de las especies Caranx ruber (cibí) y C. crysos (cojinúa), en la zona nororiental de Cuba durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 94 de 2016 de Ministerio de la Industria Alimentaria,No disponible,Inicia la campaña de pesca de langosta estableciendo fechas y zonas.,Derogada,
Resolución 31 de 2017 de Ministerio de la Industria Alimentaria,GOC-2017-330-O15,"Autoriza a la Empresa Pesquera Industrial de Pinar del Río, EPICOL, la captura de la especie Holoturia mexicana conocida como pepino mejicano entre febrero-mayo 2017.",No disponible,
Resolución 150 de 2016 de Ministerio de la Industria Alimentaria,GOC-2017-152-O8,"Inicia la campaña de pesca para el camarón rosado a partir del 23 de diciembre de 2016 en la Empresa Pesquera Industrial de Santa Cruz del Sur y a partir del 3 de enero de 2017 en las empresas pesqueras industriales de Cinefuegos, Ciego de Ávila y Granma.",No disponible,
Resolución 223 de 2015 de Ministerio de la Industria Alimentaria,GOC-2016-154-09,"Autoriza a las Empresas Pesqueras de la Coloma, (EPICOL), Santa Cruz del Sur (EPISUR) y Granma (EPIGRAN) la captura de las especies Holothuria mexicana y H. floridana conocidas como pepino de mar, a partir del 1ro de diciembre de 2015 y hasta el 30 de abril del año 2016.",No disponible,
Resolución 202 de 2015 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza a las empresas pesqueras Industrial de Pinar del Río, EPICOL; de Camagüey, EPISUR; de Granma, EPIGRAN; de Ciego de Ávila, EPIVILA; de la Isla de la Juventud, PESCAISLA y la Empresa Pesquera de Holguín, PESCAHOL, la captura de la especie Isostichopues badionotus conocida como pepino de mar a partir del 10 de noviembre del año 2015 hasta el 31 de mayo del año 2016.",No disponible,
Resolución 121 de 2015 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza la captura de langosta espinosa, establece las cuotas de Captura Máxima permisible y el número de embarcaciones para su pesca.",No disponible,
Resolución 102 de 2015 de Ministerio de la Industria Alimentaria,No disponible,Autorizar de manera excepcional a la Empresa Pesquera Industrial de Caibarién (EPICAI) a realizar la pesca durante el año 2015 de 15t en peso seco de tres especies de esponjas en determinadas áreas marinas.,No disponible,
Resolución 94 de 2015 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza a la Empresa Pesquera Industrial de Santa Cruz del Sur (EPISUR); a la Empresa Pesquera Industrial de Granma (EPIGRAN); a la Empresa Pesquera Industrial de Niquero (EPINIQ) y a la Empresa Pesquera de Holguín (PESCAHOL) a calar tranques destinados a la captura de las especies Caranax ruber (cibi) y C crysos (cojinúa), en la zona Nororiental de Cuba durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 78 de 2015 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza la captura de 80 toneladas adicionales de la especie Farfantepenaeus notialis, conocida como camarón rosado, a la empresa Pesquera Industrial de Cienfuegos en su zona de pesca, durante la presente campaña.",No disponible,
Resolución 66 de 2015 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza la captura de 30 toneladas adicionales de la especie Farfatepenaeus notialis, conocida como camarón rosado a la Empresa Pesquera Industrial de Ciego de ävila en su zona de pesca, durante la presente campaña.",No disponible,
Resolución 479 de 2009 de Ministerio de la Industria Alimentaria,No disponible,"Concluye el periodo de veda establecido para la especie comúnmente denominada camarón rosado Farfantepenaeus notialis, y establece otras cuestiones a tener en cuenta por empresas autorizadas en cuanto a la pesca y las prohibiciones a esta.",No disponible,
Resolución 353 de 2010 de Ministerio de la Industria Alimentaria,No disponible,"Actualiza y pone en vigor en todo el territorio nacional los requisitos que deberán cumplir las personas naturales cubanas al solicitar la Licencia de Pesca Comercial Privada, así como las tarifas oficiales anuales que abonarán una vez aprobada la solicitud.",Derogada,
Resolución 317 de 2010 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza por determinado tiempo y zona, el calado de un total de diecinueve tranques por parte de las Empresas Pesqueras Industriales de Camagüey y Las Tunas y a las Empresas Pesqueras de Holguín y Guantanamo los cuales serán distribuidos en las cantidades y lugares que se establecen.",No disponible,
Resolución 375 de 2013 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza del 1ro. de noviembre de 2013 hasta el 31 de mayo de 2014 la captura del pepino de mar (Isostichopus badionotus) a las empresas pesqueras de Camagüey (EPISUR), la Isla de la Juventud (PESCAISLA) y Holguín (PESCAHOL)",No disponible,
Resolución 249 de 2014 de Ministerio de la Industria Alimentaria,No disponible,Autorizo de pesca del pepino de mar a determinadas empresas y establecer las cuotas de captura.,No disponible,
Resolución 314 de 2013 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza de manera excepcional a la Empresa Pesquera Industrial de Caibarién, en forma abreviada EPICAI, a realizar la pesca de esponja en las aguas marinas próximas a Cayo Paredón Grande y las costas al noreste de los cayos Romano, Cruz y Guajaba, bajo las condiciones generales y en las cantidades establecidas en la Licencia Ambiental No. 34/2013 a la que se refiere en el segundo Por Cuanto de la presente",No disponible,
Resolución 313 de 2013 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza a las Empresas Pesquera Industrial de Santa Cruz del Sur, EPISUR; Pesquera Industrial de Granma, en forma abreviada EPIGRAN; Pesquera Industrial de Niquero ―EPINIQ‖ y Pesquera de Holguín, PESCAHOL y el calado de 19 tranques en la zona Nororiental de Cuba para la captura de Caranx ruber (cibi) y C. crysos (cojinúa)",Modificada,
Resolución 85 de 2014 de Ministerio de la Industria Alimentaria,No disponible,Prohibe la actividad pesquera en el área comprendida dentro de determinado polígono y autoriza la pesca fuera de dicho polígono a determinad número y tipo de embarcaciones.,No disponible,
Resolución 77 de 2014 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza de manera excepcional a la Empresa Pesquera Industrial de Caibarién, en forma abreviada EPICAI a realizar la pesca de esponja en las  aguas marinas próximas a Cayo Paredón Grande y las costas al noreste de los cayos Romano, Cruz y Güajaba, bajo las condiciones generales y cantidades establecidas en la Licencia Ambiental otorgada por el Centro de Inspección y Control Ambiental.",No disponible,
Resolución 102 de 2014 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza a las Empresas Pesqueras Industrial de Santa Cruz del Sur, EPISUR; Pesquera Industrial Granma, en forma abreviada EPIGRAN; Pesquera Industrial Niquero,  EPINIQ y Pesquera Holguín PESCAHOL a calar tranques para la captura de las especies Caranax ruber (cibi) y Caranax crysos (cojinúa), en la zona Nororiental de Cuba durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 115 de 2014 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza el calado de 2 tranques en la zona costera de Caletones, Municipio Gibara, para la captura de Caranx ruber (cibi) y C. crysos (cojinúa), durante los meses de julio, agosto y septiembre, operados de manera alternativa por 30 pescadores del asentamiento de caletones con el empleo de tres embarcaciones.",No disponible,
Resolución 858 de 2012 de Ministerio de la Industria Alimentaria,No disponible,"Establece normas relativas a la campaña de pesca del camarón rosado, de diciembre de 2012 a junio de 2013.",No disponible,
Resolución 757 de 2012 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza la captura de la especie Isostichopus badionotu, conocida como pepino de mar a partir de 1ro. de noviembre del año 2012 hasta el 31 mayo del año 2013, cumpliendo con las cuotas establecidas para las empresas y localidades.",No disponible,
Resolución 419 de 2012 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza el calado de los tranques que aquí se relacionan, en la zona Nororiental de Cuba, para las empresas Pesquera Industrial de Santa Cruz del Sur, EPISUR; Pesquera de Holguín, PESCAHOL y Pesquera Industrial de Niquero, EPINIQ, subordinadas al Grupo Empresarial de la Industria Alimentaria.",No disponible,
Resolución 409 de 2012 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza de manera excepcional a la Empresa Pesquera Industrial de Caibarién, en forma abreviada EPICAI a realizar la pesca de esponja en las aguas marinas próximas a Cayo Paredón Grande y las costas al noreste de los cayos Romano, Cruz y Guajaba, bajo condiciones especiales de la Licencia Ambiental.",No disponible,
Resolución 866 de 2011 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza un período de pesca de la especie Isostichopus badionotus, comúnmente conocida como pepino de mar, desde el primero (1) de noviembre de 2011 hasta el treinta y uno (31) de mayo de 2012.",No disponible,
Resolución 494 de 2011 de Ministerio de la Industria Alimentaria,No disponible,"Autoriza el calado en la zona nororiental de Cuba de los tranques, a partir del 1ro. de julio y hasta el 30 de septiembre de 2011.",No disponible,
Resolución 338 de 2009 de Ministerio de la Industria Alimentaria,No disponible,Autoriza un período de pesca de la especie Isostichopus badionotus con nombre común pepino de mar desde el primero (1) de noviembre de 2009 hasta el treinta y uno (31) de mayo de 2010.,No disponible,
Resolución 259 de 2009 de Ministerio de la Industria Alimenticia,No disponible,"Autoriza un período de pesca de la especie Litopenaeus schmitti con nombre vulgar camarón blanco desde el primero (1ro.) de septiembre de 2009 hasta el treinta y uno (31) de enero de 2010 en la zona de Tunas de Zaza, Sancti Spíritus.",No disponible,
Resolución 134 de 2009 de Ministerio de la Industria Alimenticia,No disponible,"Autoriza el calado en la zona nororiental de Cuba de los tranques que se relacionan, a partir del 1ro. de junio y hasta el 30 de septiembre de 2009.",No disponible,
Resolución 109 de 2009 de Ministerio de la Industria Alimenticia,No disponible,"Establece determinadas autorizaciones y prohibiciones pesqueras, para períodos específicos del año.",No disponible,
Resolución 1 de 2009 de Ministerio de la Industria Pesquera,No disponible,"Pone en vigor en todo el territorio nacional los requisitos que deberán cumplir las personas naturales cubanas para la solicitud ante la autoridad facultada por la presente de la Licencia para la Pesca Comercial de carácter Privada, así como las Tarifas oficiales anuales que deberán abonar en caso de ser aprobada la solicitud y en dependencia del tipo de embarcación de que se trate.",Derogada,
